Deals,Industry Type,Issuance Type,Target Raise,Amount Raised,Location
Kwikpik,Information Technology,Equity,$5M,$41M,Singapore
KWINDOO,Information Technology,Convertible Note,$10M,$44M,France
kwiry,Materials,Equity,$4M,$43M,New Zealand
KXEN,Industrial,Equity,$5M,$97M,Poland
Kxter.com,Information Technology,Debt,$1M,$24M,Mexico
KYA,Utilities,Convertible Note,$14M,$43M,Indonesia
Kyak Interactive,Consumer Descretionary,Debt,$1M,$100M,France
Kyash Inc.,Utilities,Convertible Note,$1M,$46M,Bangladesh
Kybalion,Consumer Staples,STO,$1M,$31M,Malaysia
Kybernesis,Industrial,Convertible Note,$6M,$78M,United Kingdom
Kyberpass Corporation,Communication Services,Equity,$2M,$30M,Israel
KYCK.com,Communication Services,Debt,$6M,$17M,Thailand
Kydaemos,Utilities,Debt,$13M,$31M,Singapore
KyePot,Utilities,STO,$15M,$33M,Afghanistan
Kylin Therapeutics,Consumer Staples,Convertible Note,$7M,$90M,Iran
Kyma Medical Technologies,Utilities,Equity,$12M,$40M,Indonesia
Kyma Technologies,Consumer Staples,STO,$4M,$43M,Singapore
Kymab,Financials,Convertible Note,$12M,$21M,United States
Kymeta,Materials,Equity,$15M,$24M,Israel
Kynded,Information Technology,Equity,$9M,$52M,France
Kyndi,Communication Services,Debt,$11M,$5M,South Africa
Kynetx,Real Estate,Convertible Note,$10M,$99M,Mexico
Kynogon,Materials,Convertible Note,$3M,$19M,Sweden
Kyoger,Healthcare,Convertible Note,$7M,$70M,New Zealand
Kyp,Consumer Staples,Equity,$10M,$7M,India
Kypha,Real Estate,Debt,$10M,$66M,Poland
Kyriba Corporation,Information Technology,Equity,$7M,$58M,Mexico
Kyriba Japan,Financials,Debt,$12M,$39M,Poland
Kyron,Utilities,Debt,$6M,$91M,Thailand
Kyruus,Consumer Descretionary,Equity,$13M,$86M,Bangladesh
Kyte,Consumer Staples,Debt,$15M,$97M,Poland
Kytera,Industrial,Equity,$12M,$58M,Poland
Kythera Biopharmaceuticals,Real Estate,Equity,$3M,$79M,Belgium
Kyto GmbH,Information Technology,Convertible Note,$15M,$4M,China
KYTOSAN USA,Communication Services,STO,$4M,$20M,Canada
Kyynel,Utilities,Debt,$12M,$71M,Singapore
KZO Innovations,Utilities,Debt,$9M,$31M,Indonesia
KÖÖK,Utilities,Equity,$14M,$98M,United States
L-3 GCS,Healthcare,Convertible Note,$10M,$48M,Sweden
L & C Grocery,Consumer Descretionary,Equity,$10M,$40M,Turkey
L&D Apps,Healthcare,Debt,$15M,$36M,Turkey
L.E.S.S.,Healthcare,Equity,$3M,$51M,United Kingdom
L. Condoms,Healthcare,Debt,$13M,$59M,New Zealand
LineaQuattro,Healthcare,Equity,$4M,$16M,India
L.S.F. Enterprises,Consumer Staples,Debt,$5M,$93M,China
L & T Property Investments,Communication Services,STO,$6M,$36M,China
LIFE INTERACTION,Utilities,Equity,$15M,$58M,Turkey
L1NDA,Industrial,STO,$1M,$31M,Malaysia
L2 Environmental Services,Consumer Descretionary,Debt,$8M,$18M,Iran
L2,Consumer Descretionary,STO,$6M,$93M,Poland
L2C,Utilities,Debt,$11M,$11M,China
L3,Industrial,STO,$2M,$58M,Iran
L4 Digital (formerly L4 Mobile),Utilities,Equity,$5M,$48M,Mexico
L7 Defense,Energy,Equity,$13M,$28M,United Kingdom
L8 SmartLight,Financials,STO,$10M,$7M,China
L99.com,Energy,Convertible Note,$8M,$47M,France
La Belle Assiette,Healthcare,Equity,$13M,$78M,New Zealand
La Cartoonerie,Healthcare,Debt,$15M,$68M,Canada
La Charline,Financials,Convertible Note,$9M,$11M,Spain
LÃ©a et LÃ©o,Communication Services,STO,$15M,$96M,Belgium
La Famiglia Investments,Healthcare,Equity,$13M,$21M,Spain
La Guía del Día,Financials,Convertible Note,$2M,$96M,China
La jolla Pharmaceutical,Utilities,STO,$3M,$78M,Israel
La Koketa,Industrial,STO,$4M,$67M,Malaysia
La Lumiere,Consumer Descretionary,STO,$2M,$72M,India
La Maison Interiors,Industrial,Convertible Note,$8M,$74M,Thailand
La Mans Marine Engineering,Materials,Equity,$9M,$41M,Singapore
La Miu,Real Estate,Equity,$2M,$77M,Iran
La Más Mona,Energy,Equity,$2M,$76M,Mexico
La Musiquita,Financials,STO,$3M,$44M,Indonesia
La Nevera Roja.com,Industrial,Debt,$10M,$75M,South Africa
La Renon,Energy,Equity,$6M,$56M,United Kingdom
La Reunion Virtuelle,Healthcare,Convertible Note,$14M,$23M,Sweden
La Roquette,Utilities,STO,$2M,$54M,United States
La Ruche qui dit Oui,Consumer Descretionary,Debt,$11M,$82M,New Zealand
Lab Automate Technologies,Materials,Debt,$10M,$24M,India
Like a Boss Games,Information Technology,STO,$10M,$34M,South Africa
The LAB Miami,Industrial,Equity,$2M,$75M,Mexico
Lab Sensor Solutions,Consumer Descretionary,STO,$15M,$85M,Spain
Lab21,Consumer Staples,Debt,$4M,$14M,Mexico
Lab42,Real Estate,Convertible Note,$15M,$83M,China
Lab4motion Solutions Ltd,Consumer Descretionary,STO,$9M,$96M,Mexico
Lab4U,Real Estate,STO,$11M,$36M,Spain
Lab7 Systems,Consumer Descretionary,STO,$10M,$12M,United Kingdom
LabArchives,Real Estate,STO,$6M,$58M,Thailand
Labcyte,Communication Services,Convertible Note,$14M,$80M,Poland
LabDoor,Information Technology,Equity,$9M,$25M,Spain
Labelby.me,Real Estate,Equity,$5M,$41M,Iran
LabelNexus,Industrial,STO,$10M,$69M,Thailand
Labels That Talk,Consumer Descretionary,Equity,$14M,$16M,Malaysia
Labfolder,Information Technology,STO,$8M,$5M,Turkey
Labicom,Industrial,Debt,$3M,$31M,India
Labinapp,Energy,STO,$3M,$99M,Denmark
Labmeeting,Financials,STO,$4M,$100M,United States
LabMinds,Industrial,Equity,$4M,$24M,Denmark
LabNow,Consumer Staples,STO,$15M,$2M,Afghanistan
Labochema,Materials,STO,$14M,$39M,Israel
LABOMAR,Real Estate,Convertible Note,$1M,$70M,Malaysia
LabOne Innovations,Utilities,Equity,$1M,$54M,United States
Laboratórios Noli,Real Estate,Convertible Note,$3M,$94M,Australia
Laboratoire M2,Communication Services,Debt,$1M,$84M,France
Laboratoires Nutrition & Cardiometabolisme,Consumer Staples,STO,$7M,$28M,Singapore
Laboratory Partners,Consumer Staples,Convertible Note,$11M,$65M,Bangladesh
Airpersons,Real Estate,Equity,$12M,$68M,United Kingdom
Labotec,Utilities,Debt,$3M,$65M,United Kingdom
LabourNet,Utilities,STO,$10M,$23M,Indonesia
LabPixies,Consumer Descretionary,Equity,$11M,$39M,Indonesia
LabRoots,Financials,Debt,$11M,$10M,Iran
Labrys Biologics,Consumer Staples,Debt,$9M,$84M,Ireland
Labs on the Go,Communication Services,STO,$12M,$86M,Afghanistan
LabsAdvisor,Utilities,Convertible Note,$13M,$30M,Iran
LabStreet,Real Estate,Equity,$7M,$63M,Malaysia
LabStyle Innovations,Utilities,Equity,$1M,$35M,South Africa
Labtiva,Consumer Staples,STO,$12M,$31M,France
Labtrip,Financials,STO,$7M,$64M,Afghanistan
Laclede Group,Consumer Staples,Debt,$1M,$51M,Iran
LaComunity,Utilities,Convertible Note,$11M,$3M,Thailand
Lacoon Mobile Security,Energy,Convertible Note,$15M,$21M,Indonesia
Lacrosse All Stars,Consumer Descretionary,Debt,$6M,$77M,Canada
Ladera Labs,Materials,STO,$7M,$49M,India
Ladies Who Launch,Utilities,STO,$4M,$88M,Indonesia
Ladkart,Healthcare,Debt,$1M,$58M,Ireland
LADON,Communication Services,Convertible Note,$1M,$26M,United Kingdom
LadyTime.pl,Communication Services,Debt,$14M,$29M,Sweden
LafaLafa,Financials,Equity,$5M,$30M,Ireland
LAFASO,Energy,Debt,$14M,$92M,China
LAFORGE Optical,Consumer Descretionary,Convertible Note,$8M,$81M,Mexico
LaFourchette,Industrial,Equity,$14M,$88M,Spain
Lagan Technologies,Communication Services,Equity,$8M,$34M,Spain
LagChat,Real Estate,Debt,$12M,$16M,Turkey
Lagiar,Industrial,Equity,$11M,$66M,Ireland
Lagniappe Health,Industrial,Debt,$9M,$44M,Canada
Lagoa,Consumer Staples,Convertible Note,$12M,$96M,Iran
Lagoon,Energy,Debt,$3M,$26M,Ireland
Lagotek,Energy,Convertible Note,$11M,$77M,Canada
Lagou,Financials,Debt,$11M,$14M,Iran
Lagou.com 拉勾网,Financials,Debt,$10M,$92M,Malaysia
Lagrange Systems,Utilities,Debt,$12M,$77M,Thailand
Laguna Blends,Energy,Equity,$15M,$54M,United Kingdom
Laguo,Healthcare,Debt,$12M,$48M,Canada
Lahore University of Management Sciences,Utilities,STO,$1M,$45M,Turkey
Lailaihui,Financials,Equity,$7M,$61M,Sweden
Laimoon.com,Energy,Convertible Note,$3M,$89M,Iran
Laiyaoyao,Healthcare,STO,$10M,$33M,India
laiye,Financials,Debt,$12M,$96M,Malaysia
Lakala,Utilities,Debt,$7M,$3M,Spain
Lake Erie Energy Development Corp,Communication Services,Convertible Note,$9M,$64M,Malaysia
Lake Homes Realty,Information Technology,Debt,$15M,$7M,Spain
LakeHawk Technologies,Industrial,STO,$4M,$12M,United States
Lakeside Endoscopy Center,Information Technology,Equity,$1M,$50M,Poland
Lakeside Speech Language and Learning,Information Technology,Debt,$9M,$100M,Thailand
Lakewood Amedex,Real Estate,Equity,$2M,$84M,United Kingdom
Lakoo,Consumer Staples,Debt,$5M,$15M,Malaysia
Lakshmi Overseas Industries,Communication Services,STO,$3M,$83M,South Africa
Laku6,Healthcare,Convertible Note,$4M,$87M,Malaysia
Lala,Healthcare,STO,$12M,$68M,France
LaLa Media,Utilities,Equity,$6M,$59M,South Africa
Lalalama Ltd,Consumer Descretionary,Debt,$6M,$1M,Canada
Lalina,Communication Services,STO,$10M,$73M,Mexico
LAM Aviation,Real Estate,Debt,$6M,$96M,Bangladesh
Lam Cloud Management,Financials,Convertible Note,$5M,$35M,South Africa
Lama Lab,Utilities,Equity,$5M,$64M,United Kingdom
Lamabang,Information Technology,Convertible Note,$13M,$28M,Turkey
Lamahui,Energy,Debt,$14M,$46M,France
Lambda OpticalSystems,Energy,Debt,$9M,$70M,Malaysia
Lambda Solutions,Consumer Descretionary,Convertible Note,$13M,$32M,Iran
LambdaZen,Materials,STO,$4M,$79M,Australia
Lambert Contracts,Financials,Equity,$1M,$22M,Afghanistan
LamBonche International,Energy,STO,$15M,$95M,Belgium
Lamellar Biomedical,Energy,Debt,$10M,$77M,Singapore
Glia,Financials,Debt,$14M,$33M,New Zealand
Lamiecco,Industrial,Debt,$15M,$96M,Sweden
Lamina,Materials,Convertible Note,$1M,$50M,Denmark
Laminar Metals,Materials,Equity,$6M,$5M,India
Lamoda,Industrial,Debt,$12M,$40M,France
Lamplight Analytics,Industrial,Convertible Note,$13M,$52M,United States
Lamppost,Consumer Staples,Convertible Note,$11M,$32M,New Zealand
Lamsa,Healthcare,STO,$4M,$3M,Afghanistan
Lamudi,Communication Services,Equity,$13M,$22M,Canada
LAN-Power,Materials,STO,$12M,$43M,Ireland
lancers Inc,Industrial,Convertible Note,$10M,$71M,Iran
Lancope,Information Technology,Equity,$14M,$77M,Canada
Land Insight,Communication Services,Debt,$12M,$35M,Indonesia
Land Systems Corp.,Healthcare,Debt,$1M,$2M,Denmark
LANDBAY,Healthcare,Convertible Note,$11M,$37M,India
Lander Automotive,Real Estate,Convertible Note,$7M,$67M,Sweden
Landingi,Consumer Descretionary,Convertible Note,$1M,$81M,New Zealand
Landing Jobs,Industrial,Convertible Note,$7M,$21M,Indonesia
Landis+Gyr,Financials,Convertible Note,$2M,$71M,Iran
LandlordStation,Materials,Debt,$14M,$59M,Sweden
Landmark,Materials,STO,$4M,$98M,United Kingdom
Landmark Games And Toys,Real Estate,Equity,$4M,$38M,Denmark
Landmark Networks,Financials,STO,$15M,$20M,China
Landmaster Partners,Utilities,Equity,$14M,$78M,Turkey
Landpoint,Consumer Descretionary,Equity,$2M,$79M,Australia
Landscape Mobile,Energy,Convertible Note,$10M,$66M,France
Lane15 Software,Real Estate,Equity,$6M,$28M,Malaysia
Lanetix,Materials,Convertible Note,$7M,$4M,France
Lang-8,Communication Services,STO,$7M,$96M,France
Lang Ma,Information Technology,Debt,$8M,$59M,France
Langhar,Real Estate,STO,$7M,$23M,United States
Lango,Real Estate,Convertible Note,$9M,$60M,France
LangoLab,Information Technology,Convertible Note,$8M,$9M,Denmark
langtaojin,Real Estate,Equity,$9M,$97M,Canada
Langtice,Financials,STO,$1M,$41M,Malaysia
Langtons Gin,Real Estate,Equity,$7M,$10M,India
Coursebase,Consumer Descretionary,Debt,$2M,$62M,Denmark
Language Learning Class,Consumer Descretionary,Convertible Note,$6M,$62M,Belgium
Language Logistics,Real Estate,Convertible Note,$3M,$74M,Sweden
Language Systems,Materials,STO,$10M,$29M,Thailand
Language Weaver,Utilities,STO,$8M,$81M,Australia
Language Zen,Healthcare,STO,$12M,$54M,China
Language123,Financials,Equity,$4M,$37M,Israel
Lanica,Materials,Debt,$15M,$49M,South Africa
Lanier Parking Solutions,Communication Services,Convertible Note,$8M,$78M,India
Lanky,Industrial,Convertible Note,$1M,$1M,Israel
Lantech,Materials,STO,$11M,$88M,Turkey
Lantern Pharma,Financials,Debt,$7M,$8M,Spain
LanternCRM,Healthcare,Debt,$5M,$64M,Malaysia
Lanthio Pharma,Communication Services,Convertible Note,$12M,$36M,Singapore
Lantos Technologies,Consumer Staples,Convertible Note,$10M,$95M,New Zealand
Lantronix,Energy,Equity,$7M,$82M,Afghanistan
Lanx,Consumer Staples,Convertible Note,$4M,$39M,Iran
"Lanyon Solutions, Inc",Utilities,Equity,$10M,$17M,South Africa
Lanyrd,Healthcare,STO,$4M,$78M,Bangladesh
Lanzaloya,Real Estate,STO,$3M,$63M,Malaysia
LanzaTech,Materials,Equity,$10M,$86M,Poland
LaoBaiXing,Energy,Convertible Note,$8M,$85M,Canada
Lapel,Financials,Debt,$8M,$69M,New Zealand
Mainkeys Inc,Industrial,Debt,$7M,$78M,India
MainLaws,Communication Services,Debt,$6M,$2M,United Kingdom
Mainline Net Holdings,Consumer Descretionary,Equity,$5M,$86M,New Zealand
Mainspree,Energy,Convertible Note,$1M,$39M,Sweden
Mainstay Medical,Materials,Convertible Note,$11M,$86M,Poland
Mainstream Data,Energy,Equity,$8M,$30M,Belgium
Mainstream Energy,Information Technology,Debt,$5M,$100M,Mexico
Mainstream Renewable Power,Communication Services,Equity,$9M,$69M,New Zealand
MainStreet Bank,Consumer Descretionary,Convertible Note,$13M,$100M,Australia
The Daily Voice,Materials,STO,$9M,$78M,Singapore
MAINtag,Consumer Descretionary,Debt,$10M,$44M,Australia
Maintenance Assistant,Materials,STO,$14M,$48M,Belgium
MaintenanceNet,Information Technology,Debt,$8M,$77M,Sweden
Maintenel Automation,Industrial,STO,$11M,$86M,France
Maipu Communication,Consumer Descretionary,Equity,$14M,$33M,Singapore
MaistorPlus,Communication Services,Debt,$9M,$27M,India
Maiyas Beverages And Foods,Utilities,STO,$3M,$69M,Indonesia
Maiyet,Energy,Debt,$8M,$73M,Ireland
Maizhuo,Healthcare,Equity,$5M,$68M,Spain
Maj.io,Real Estate,Debt,$2M,$47M,Australia
Majeska & Associates,Industrial,Debt,$8M,$27M,United Kingdom
Majitek,Consumer Descretionary,Convertible Note,$11M,$35M,Malaysia
Major Aide,Utilities,Debt,$9M,$42M,Iran
Major League Fantasy,Information Technology,Debt,$13M,$42M,Ireland
Major League Gaming,Healthcare,Debt,$7M,$85M,Bangladesh
"MajorWeb, LLC",Healthcare,STO,$9M,$93M,United States
Makad Energy,Consumer Staples,Convertible Note,$2M,$22M,United Kingdom
Makana Solutions,Healthcare,STO,$11M,$5M,Malaysia
Makani Power,Energy,Debt,$3M,$83M,Canada
OXILIA,Utilities,Equity,$15M,$18M,Malaysia
